kode_kabkota;nama_kabkota;tahun;pct_miskin;ipm;tpt;pdrb;pertumbuhan_pdrb
1101;simuele;2015;20.43;63.16;8.51;1344.66;4.31
1101;simuele;2016;19.93;63.82;5.815;1405.84;4.55
1101;simuele;2017;20.2;64.41;3.12;1467.98;4.42
1101;simuele;2018;19.78;64.74;4.95;1530.15;4.24
1101;simuele;2019;18.99;65.7;5.82;1600.52;4.6
1101;simuele;2020;18.49;67.9;5.47;1602.41;0.12
1101;simuele;2021;18.98;68.29;5.71;1657.03;3.41
1101;simuele;2022;18.37;69.17;6;1726.61;4.2
1101;simuele;2023;17.92;69.98;5.85;1806.62;4.63
1101;simuele;2024;17.69;70.95;5.5;1886.61;4.43
1101;simuele;2025;15.52;71.94;5.31;1985.5;3.81
1102;aceh singkil;2015;21.72;66.05;7.03;1479.14;3.72
1102;aceh singkil;2016;21.6;66.96;7.085;1540.65;4.16
1102;aceh singkil;2017;22.11;67.37;7.14;1600.98;3.92
1102;aceh singkil;2018;21.25;68.02;7.96;1664.74;3.98
1102;aceh singkil;2019;20.78;68.91;8.58;1731.17;3.99
1102;aceh singkil;2020;20.2;69.92;8.24;1713.66;-1.01
1102;aceh singkil;2021;20.36;70.21;8.36;1780.42;3.9
1102;aceh singkil;2022;19.18;70.61;6.88;1844.65;3.61
1102;aceh singkil;2023;19.15;71.14;6.84;1909.66;3.52
1102;aceh singkil;2024;19.06;71.76;6.44;1975.75;3.46
1102;aceh singkil;2025;17.07;72.62;6.55;2043.19;3.41
1103;aceh selatan;2015;13.24;63.28;10.01;3574.59;4.23
1103;aceh selatan;2016;13.48;64.13;8.625;3740.29;4.64
1103;aceh selatan;2017;14.07;65.03;7.24;3887.22;3.93
1103;aceh selatan;2018;14.01;65.92;6.03;4063.41;4.53
1103;aceh selatan;2019;13.09;66.9;6.54;4243.4;4.43
1103;aceh selatan;2020;12.87;69.79;6.54;4241.41;-0.05
1103;aceh selatan;2021;13.18;70.12;6.46;4345.78;2.46
1103;aceh selatan;2022;12.43;70.56;4.82;4480.84;3.11
1103;aceh selatan;2023;12.1;71.14;4.73;4639.2;3.53
1103;aceh selatan;2024;12.02;71.82;4.56;4788.29;3.21
1103;aceh selatan;2025;9.89;72.79;4.39;4931.74;3
1104;aceh tenggara;2015;14.91;66.77;9.79;2921.13;4.03
1104;aceh tenggara;2016;14.46;67.48;7.27;3044.88;4.24
1104;aceh tenggara;2017;14.86;68.09;4.75;3197.95;5.03
1104;aceh tenggara;2018;14.29;68.67;3.75;3302.24;3.26
1104;aceh tenggara;2019;13.43;69.36;3.45;3442.06;4.23
1104;aceh tenggara;2020;13.21;71.21;5.72;3436.34;-0.17
1104;aceh tenggara;2021;13.41;71.28;6.43;3490.16;1.57
1104;aceh tenggara;2022;12.83;72.18;5.09;3584.21;2.69
1104;aceh tenggara;2023;12.45;72.93;5;3693.26;3.04
1104;aceh tenggara;2024;11.99;73.59;4.79;3825.99;3.59
1104;aceh tenggara;2025;9.78;74.36;4.72;3939.45;2.97
1105;aceh timur;2015;15.85;64.55;13.89;7259.93;-5.98
1105;aceh timur;2016;15.06;65.42;11.155;7175.79;-1.16
1105;aceh timur;2017;15.25;66.32;8.42;7487.53;4.34
1105;aceh timur;2018;14.49;66.82;6.92;7802.17;4.2
