kode_kabkota,nama_kabkota,tahun,klaster_id,nama_klaster,centroid_miskin,centroid_ipm,centroid_tpt,centroid_pdrb_growth,warna_klaster
1101,Simeulue,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1102,Aceh Singkil,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1103,Aceh Selatan,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1104,Aceh Tenggara,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1105,Aceh Timur,2015,1,Zona Transisi,15.736666666666666,68.83666666666666,14.666666666666666,-12.67,Kuning
1106,Aceh Tengah,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1107,Aceh Barat,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1108,Aceh Besar,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1109,Pidie,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1110,Bireuen,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1111,Aceh Utara,2015,1,Zona Transisi,15.736666666666666,68.83666666666666,14.666666666666666,-12.67,Kuning
1112,Aceh Barat Daya,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1113,Gayo Lues,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1114,Aceh Tamiang,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1115,Nagan Raya,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1116,Aceh Jaya,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1117,Bener Meriah,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1118,Pidie Jaya,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1171,Kota Banda Aceh,2015,2,Zona Mandiri,7.72,83.25,12.0,5.0,Hijau
1172,Kota Sabang,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1173,Kota Langsa,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1174,Kota Lhokseumawe,2015,1,Zona Transisi,15.736666666666666,68.83666666666666,14.666666666666666,-12.67,Kuning
1175,Kota Subulussalam,2015,0,Zona Rentan,18.25263157894737,67.77578947368421,7.618947368421052,4.12421052631579,Merah
1101,Simeulue,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1102,Aceh Singkil,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1103,Aceh Selatan,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1104,Aceh Tenggara,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1105,Aceh Timur,2016,1,Zona Transisi,15.5,69.46333333333332,12.325000000000001,-0.87,Kuning
1106,Aceh Tengah,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1107,Aceh Barat,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1108,Aceh Besar,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1109,Pidie,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1110,Bireuen,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1111,Aceh Utara,2016,1,Zona Transisi,15.5,69.46333333333332,12.325000000000001,-0.87,Kuning
1112,Aceh Barat Daya,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
1113,Gayo Lues,2016,0,Zona Rentan,17.81578947368421,68.39315789473685,6.296842105263158,4.141578947368421,Merah
